Record,Record.Cathy,Group,Participant,Habitat,Revised.Habitat,Biome1,Biome2,Importance,Why.important...ECOSYSTEM.SERVICE,Habitat.area,Habitat.condition,Mammals,Birds,Reptiles.amphibians,Fish,Invertebrates,Trees,Other.plants,Fungi,Other,Soil.fertility,Soil.intacteness,Water.quantity,Water.quality,Why.changed.habitat...DRIVER,Habitat.area.will,Habitat.condition.will,Measures.needed,Action.and.by.whom,Comments,ES.HAB,ES.POL,ES.AIR,ES.CLI,ES.OCE,ES.WQN,ES.WQL,ES.SOL,ES.HAZ,ES.PST,ES.NRG,ES.FOD,ES.MAT,ES.MED,ES.LRN,ES.EXP,ES.IDE,ES.OPT,ES.WEB,ES.LIV,DIR.ACT,DIR.CC,DIR.IAS,DIR.LUC,DIR.OVR,DIR.POL,IND.CLT,IND.DEM,IND.ECO,IND.GVN,IND.LUC,IND.S.T,ACT.LAND,ACT.SPEC,ACT.AWAR,ACT.ENFORC,ACT.ECON,ACT.PROTECT,ACT.LAWPOL,ACT.RSRCH,ACT.EDUC,ACT.INST
47,11,Green,12,Wetlands,Freshwater - Wetland,Freshwater,Freshwater,High,Rare habitats; pollen archive,Decreased,Deteriorated,No answer,No answer,No answer,Less,No answer,No answer,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Draining and conversion for agriculture,Decrease,Deteriorate,Yes,Strict protection,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,12,Green,12,Alpine Wetlands,Alpine - Wetland,Freshwater,Alpine,Moderate,Rare habitats; pollen archive,Not changed,Not changed,No answer,No answer,No answer,No answer,No answer,No answer,No change,No answer,No answer,Not changed,Not changed,Not changed,Not changed,no answer,Not change,Not change,No,no answer,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,13,Green,12,Rice Fields,Agriculture - Cropland - irrigated,Agriculture,Agriculture,Low,Food source,No answer,Deteriorated,No answer,No answer,Less,Less,No answer,No answer,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increasing soil salinity,Decrease,Deteriorate,Yes,Better water management,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,14,Green,12,Agricultural Fields,Agriculture - Cropland,Agriculture,Agriculture,Moderate,Food source,Increased,Deteriorated,Less,Less,Less,No answer,Less,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Population increase,Increase,Deteriorate,Yes,Better planning and managemnet,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,15,Green,19,Savannah,Savannah - Lowland,Grassland,Grassland,High,Species habitat,Decreased,Deteriorated,Less,Less,More,Less,Less,More,More,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Poor managemnet of habitats; deforestation,Decrease,Deteriorate,Yes,Conservation education; Aforestation; Outrich programs,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
52,16,Green,21,Aquatic Habitat,Freshwater,Freshwater,Freshwater,High,Water sources for development; research areas,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Climate Change,Decrease,Deteriorate,Yes,Climate change mitigation,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,17,Green,24,Forest,Forest - Lowland,Forest,Forest,High,Provides ecosystem services; habitat for various species; water source,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Due to anthropogenic activities; Climate change,Decrease,Deteriorate,Yes,Conservation of the mountain,NA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,18,Green,24,Aquatic,Freshwater,Freshwater,Freshwater,High,"Water for domestic use, agriculture; research ares; moderates climate change",Decreased,Deteriorated,Less,Less,Less,Less,Less,More,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Due to anthropogenic activities; Climate change,Decrease,Deteriorate,Yes,Environmental education; Sustainable resource utilization,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
55,19,Green,25,Aquatic Habitat,Freshwater,Freshwater,Freshwater,High,Research on Irrigation potentials both in the highlands and lowland areas,Decreased,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,No answer,Decreased vegetation cover in the catchment areas; increased demand for land for irrigation agriculture due to climate change,Decrease,Deteriorate,Yes,Research on potentials for irrigation agriculture; improved technologies to sustain irrigation,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
56,20,Green,25,Agricultural Fields,Agriculture - Cropland,Agriculture,Agriculture,High,Research activities on livelihood security for communities across zones,No answer,Deteriorated,No answer,,No answer,No answer,No answer,Less,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,No answer,Degrease in vegetation,No answer,Deteriorate,Yes,Research on alternative environmentally friendly income generating activities,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,21,Green,26,Aquatic Habitat,Freshwater,Freshwater,Freshwater,High,"Provides ecosystem services such as water, cultural, habitat",Decreased,Deteriorated,Less,Less,No answer,Less,No answer,Less,No answer,No answer,More,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased anthropogenic activities near water sources; Climate change,Decrease,Deteriorate,Yes,More emphasis on conservation education; Restoration of affected areas,Conduct more research to identify measures to combat degradation,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
58,22,Green,26,Glacial Habitat,Alpine - Ice,Rock and ice,Alpine,High,Water source for downstream users,Decreased,Deteriorated,More,More,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased anthropogenic activities; Climate change,Decrease,Deteriorate,Yes,Conservation efforts should be emphasized,More efforts should be geared towards increasing icecap coverage which has alsready increased this year,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,23,Green,31,Aquatic Habitat,Freshwater,Freshwater,Freshwater,High,Supports human activities such as agriculture,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,no answer,No answer,No answer,Yes,no answer,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,24,Green,31,Glacial Habitat,Alpine - Ice,Rock and ice,Alpine,High,Ecosystem services such as habitat provision to aquatic organisms; source of water downstream,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,no answer,No answer,No answer,No answer,no answer,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,25,Green,38,Glacial Habitat,Alpine - Ice,Rock and ice,Alpine,High,Indicator for Climate Change,Decreased,Deteriorated,No change,No change,Less,No change,No change,No change,No answer,No answer,No change,Not changed,Deteriorated,Increased,Deteriorated,Climate Change,Increase,Improve,Yes,Conserve glacier area,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,26,Green,38,Built up areas,Urban,Urban,Urban,High,To predict encroachment of natural resources,Increased,Improved,More,No answer,No answer,No answer,No answer,More,More,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased population,Increase,Deteriorate,Yes,Zoning and land use plans,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,27,Green,45,Aquatic Habitat,Freshwater,Freshwater,Freshwater,High,Conservation and management of aquatic species,Decreased,Deteriorated,No answer,Less,More,More,More,More,More,More,More,Deteriorated,Deteriorated,Decreased,Deteriorated,Increasead anthropogenic activitesaround water bodies,Decrease,Deteriorate,Yes,Use of intergrated water resources management,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,28,Green,45,Built up areas,Urban,Urban,Urban,High,Some built up areas serve as breeding site and habitat for other organisms,Increased,Improved,Less,Less,Less,Less,Less,No answer,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased anthropogenic activities on the environment,Increase,Deteriorate,Yes,Human population and their associated socio-economic activities be monitored and controlled,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
65,29,Green,45,Glacial Habitat,Alpine - Ice,Rock and ice,Alpine,High,Natural beauty of Mt. Kilimanjaro; Habitat to some species ,Decreased,Deteriorated,No change,No change,No change,No change,No change,No change,No change,No change,More,Not changed,Not changed,Decreased,Deteriorated,Climate Change,Decrease,Deteriorate,Yes,Adaptation and mitigation measures for the changing climate,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,30,Green,52,Savannah,Savannah,Grassland,Grassland,High,Habitat for people,Increased,Deteriorated,Less,Less,No answer,No answer,No answer,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased deforestation,No answer,Deteriorate,Yes,Reforestation efforts; Conservation education; Advocate improved livestock keeping practices for improved livelihood,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
67,31,Green,76,Forest,Forest,Forest,Forest,High,Ecosystem services and functions,Decreased,Deteriorated,Less,No answer,Less,No answer,No answer,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Tree cutting; Encrachment by humans,Decrease,Deteriorate,Yes,Reforestation efforts; manage enchroachment; alternative livelihoods,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
68,32,Green,76,Savannah,Savannah,Grassland,Grassland,High,Hosts large mammalian species; important buffer/corridors for wildlife,Decreased,Deteriorated,Less,No answer,No answer,No answer,No answer,Less,No answer,No answer,More,Deteriorated,Deteriorated,Decreased,No answer,Driear climate; increased human activities; increased settlement areas,Not change,Deteriorate,Yes,Reduce/manage livestock; Protec wildlife corricors; Awareness raising on need for land connectivity,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
69,33,Green,81,Agricultural Fields,Agriculture - Cropland,Agriculture,Agriculture,High,Research areas,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,no answer,No answer,No answer,No answer,no answer,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,34,Green,134,Montane Forest,Forest - Montane,Forest,Forest,High,Home to diverse wildlife (birds and mammals); water source; Kili Beauty,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Decreased,No answer,Increased water extraction; reduced glacier; prolonged drought; human encroachmennt,Decrease,No answer,Yes,Promote environmental education; enforce laws and regulations,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
71,112,Orange,4,Water bodies,Freshwater,Freshwater,Freshwater,High,Provides water for both human and wildlife uses; provides habitat for fish and other marine organisms; provides food for other organisms (e.g. flamingos get zooplankton and phytoplankton from H2O,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,No answer,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Water quality has decreased due to population increase and which lead to overuse of water,Decrease,Deteriorate,Yes,Relocation of human settlements which will lead to decrease in overuse of water,NA,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,113,Orange,4,Wooded savannah,Savannah - wooded,Grassland,Grassland,High,The wooded savannah is used as wildlife habitat; the wooded savannah provides food for wildlife; the wooded savannah is used by researchers to control pest and disease,Decreased,Deteriorated,Less,Less,Less,No answer,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Human activities such as cultivation, industrialisation etc",Decrease,Deteriorate,Yes,Provision of environmental conservation to local communities and they should be taught on the importance of conserving the environment; governmentthrough environmental experts should introduce habiat manaament policy,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,114,Orange,13,Montane forest,Forest - Montane,Forest,Forest,High,This is the source of water and good climate conditions; hence it is important for conservation of these habitats,Decreased,Improved,Less,More,More,Less,More,Less,More,More,No answer,Improved,Deteriorated,Increased,Improved,It is because of patrols conducted against poachers; availability of technology for monitoring and tracking all people who have bad intentions on destroying the forest; raise of awareness to adjacent community on benefits of conserving the forest,Decrease,Deteriorate,Yes,"Continue to educate the local people who are adjacent to the area on how its important to conserve the forest; introduce alternative sources of power, instead of depending on trees only",NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
74,115,Orange,13,Agroforestry,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"It is important because it is the area where I perform my day-to-day activities with the community. Vermin problems accelerated this even from national park, dangerous animals come to villages adjacent to the park",Not changed,Deteriorated,Less,Less,Less,Less,Less,More,More,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Increase in number of people; increase of human activities like cutting of trees, assess areas for settlement",Decrease,Deteriorate,Yes,"Raising awareness to the community on why it is important to conservae the environment; introduction of alternative source of power rather than depending on firewood, charcoal etc; family plannning",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0
75,116,Orange,22,Agroforestry,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Production of a high variety of food  and cash crops, i.e. banana, coffee, trees etc; conservation of riverine forest in rivers crossing the village; conservation of highland biodiversity, i.e. birds; water sources / streams; ecotourism and cultural tourism, i.e. waterfalls and Chagga tunnels",Not changed,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Excessive logging / deforestation for subsistence economical reasons; poor agricultural practices resulting in soil erosion and degradation; human population increase: subdivisions of land / inheritance systems known as kihamba,Not change,Deteriorate,Yes,"Reforestation of riverine and improvement of agroforestry systems; soil and water conservation and good agricultural practices; development of village land use plans with do's and donít's; support local communities in livelihood improvement through green business enterprises, private commercial crops anas well as assist in marketing of crops",NA,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,1,0,0,4,0,0,0,2,0,0,0,0,0
76,117,Orange,22,Montane forest,Forest - Montane,Forest,Forest,High,"Source of water for domestic, irrigation, hydropower; biodiversity conservation: plants, mammals, birds, herpetofauna; climate: carbon sink. Rainfall formation; tourism, ecotourism",Not changed,Improved,No change,More,More,No answer,More,More,More,More,No answer,Not changed,Not changed,Mixed,Not changed,Human pressure in the lower ontane forest: fuelwood collection (energy) and livestock fodder collection,Decrease,Deteriorate,Yes,"To restrict human activities, i.e. fuelwood and  livestock fodder collection in the lower montane forest; to undertake restoration of degraded areas of the lower montane forest; to support local communities in alternative income generating activities such as efficient cooking stoves, alternative charcoal, and other green business",NA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
77,118,Orange,22,Savannah,Savannah,Grassland,Grassland,High,"Wildlife conservation, i.e. Endumet; tourism; provision of staple crops for food and cash; support aquatic biodiversity, i.e. Nymba ya Mungue dam, Lake Chala",Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increase human settlements and urbanizations; increased farmland: maize fields,Decrease,Deteriorate,Yes,Institute land use plans; improve agricultural practices; improve agricultural marketing; strengthen wildlife managament area initiatives: i.e. Endumet,NA,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
78,119,Orange,35,Sub montane forest,Forest - Montane,Forest,Forest,High,It is an area which is more comfortable for most different species to live. It acts as a buffer zone between the harsh environment on the top of the peak where it is normally too windy and harsh and low altitude where you would expect to see a lot of human activities / disturbance. Also the area has moderate climate conditions suitable for most species,Decreased,Improved,Less,No change,More,No answer,More,No change,More,No change,No change,Deteriorated,Deteriorated,Decreased,Deteriorated,There are a number of confounding factors which include: climate change: e.g. the glacier on top of Mt Kilimanjaro is decreasing which in turn affects the quantity of water to the the user due to climate change; the water quality continues to decrease due to the application of fertilizers uphill by most of the farmers which get washed to the rivers and affect the water quality,Decrease,Deteriorate,Yes,encourage the use of natural manuers e.g. from compost; stop habitat destructive practices; reforestation in the area that has been affected / deforested; provide environmental education to the locals,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0
79,120,Orange,35,Savannah woodland,Savannah - wooded,Grassland,Grassland,High,"As a researcher, this habitat is very important for most of the big game species as they use it for feeding, reproduction and also dispersal area; Also they act as corridors linking KINAPA and other NPs such as Arusha NP and Amboseli NP in Kenya",Decreased,Deteriorated,More,More,More,No answer,More,More,More,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Increased human destructive activities such as farming, charcoal burning, logging, poaching and human settlement; livestock grazing which causes serious soil trampling and overgrazing; water contamination due to the use of pesticides, herbicides etc; poor land use plan",Decrease,Deteriorate,Yes,For the coridors there is a high need to enforce the laws so that the corridors become protected; Proper land use plans should be established in order to use the land wisely; provide environmental education to the locals; use of alternative sources of energy to discourage charcoal burning,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0
80,121,Orange,35,Agroforestry,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,It is a typical habitat where I live. It is a source of food for my family,Not changed,Improved,No answer,Less,No answer,No answer,No answer,More,More,No change,No answer,Improved,Improved,Increased,Deteriorated,The use of natural fertilizer in my backyard farming; plantation of both timber and fruit trees together with banana trees; improved water services whereby dilapidated water infrastructures have been replaced by new ones,Decrease,Deteriorate,Yes,Maintain good lnd use practices that are good to both the environment and the people; refrest the areas; discourage the use of artificial fertilizers,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
81,122,Orange,43,Water bodies,Freshwater,Freshwater,Freshwater,High,Habitat for fisheries; source of water for both wildlife and livestock; provides water for domestic usage; water for industrial developments,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,increased human acticities in the area; growing population; industrialization; urbanization; globalization,Decrease,Deteriorate,Yes,Protect the sources of water by planting more trees; control numbers f livestock,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
82,123,Orange,43,Wildlife corridor,Savannah,Grassland,Grassland,High,provides link or connectivity between several conservation areas; as the dispersal area for wildlife,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,More human settlements in areas around the corridors; more human activitiesin areas around the corridors,Decrease,Deteriorate,Yes,"Educate the community on the importnace of the corridors; promote environmental friendly human activities, e.g. beekeeping",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
83,124,Orange,43,Lower montane forest,Forest - Montane,Forest,Forest,High,The habitat forms a home to a number of wildlife species; he habitat acts as the dispersal are a for the wildlife species; the habitat provides the connectivity / link for the wildlife to move from one park to another; a good example is the Kitenden corridor that connects Amboseli NP and Kilimanjaro NP,Decreased,Deteriorated,Less,Less,Less,No change,No change,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Increased human activities (agriculture and livestock production); effects of climate change; growing population, hence demand for more land",Decrease,Deteriorate,Yes,More trees to be planted; reduce number of livestock in area; control population growth,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
84,125,Orange,58,Agroforestry,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Carries everyday life,No answer,Deteriorated,No answer,Less,Less,Less,Less,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Mixed,There has been increased forest clearing; many people farming in the catchment areas; tree cutting farming have led to soil erosion; some bird species are not seen anymore; bees have decreased because of tree curring,No answer,Deteriorate,Yes,Protect catchment areas by tree planting; Awreness raising,Local leaders; Environmental people to educate communities ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
85,126,Orange,58,Forest,Forest - Lowland,Forest,Forest,High,We get clean air,Decreased,Deteriorated,No answer,No answer,No answer,No answer,No answer,Less,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Tree cutting for fuel use, building and business",No answer,Deteriorate,Yes,"People around Rau forest should be educated to stop tree cutting; plant trees where trees have been cut, where possible, Rau forest should be fensed because it is within settlement areas",NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
86,127,Orange,59,River / wetland,Freshwater - Lowland,Freshwater,Freshwater,High,"Provides breeding site / home to aquatic organisms, i.e. fish, birds; provide water for different activities",Decreased,Deteriorated,No answer,Less,Less,Less,No answer,No answer,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Human activities (i.e. Paddy cultivation); water is being polluted by chemicals from the farms; also people do direct / empty their wastes in area,Decrease,Deteriorate,Yes,People should be deducated on the importnace (dirct and indirect) of this habitat so as not to direct their waste in an area,"Not only the wetlands starts from Kilimanjaro NP are to be conserved / protected, rather the spring found at the low land should be conserved: example: Mjoro River/ stream / spring",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,128,Orange,59,Lowland forest,Forest - Lowland,Forest,Forest,High,"Important for our survival, i.e. provide habitat to wildlife, reduce pollution etc",Decreased,Deteriorated,Less,Less,Less,No answer,No answer,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Human activities conducted inside an area, i.e. tree harvesting, ground littering, agricultural activities, animal offtalig (hunting). All these are done illegally by people",Decrease,Deteriorate,Yes,Community awareness; reforestation; safeguarding the forest; reintroduction of wildlife which were there / poached,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
88,129,Orange,60,Agricultural lands,Agriculture - Cropland,Agriculture,Agriculture,High,It is the part of my daily work operations and I use a lot of effort to preserve and conscientize the majority of land users to not keep on degrading and instead use it in proper agricultural sustainable proposed means and ways of cultivating,Decreased,Deteriorated,Less,No change,Less,No answer,Less,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Not changed,Massive cutting down of trees; poor  and uncontrolled farming activities and livestock keeping; lacking of information and knowledge to most of the land users in agriculture,Decrease,Deteriorate,Yes,Education to the community; responsible figures and authorities take measures to restore and improve the habitats; enabling the local community members to participate in getting rid of all means and ways contributing to deforestating the habitat (agricultural lands),NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0
89,130,Orange,60,Water bodies,Freshwater - Lowland,Freshwater,Freshwater,High,It is a daily part and parcel of living to both flora and fauna; it is a part of my working; it is an interesting commodity to many groups of people,Decreased,Deteriorated,Less,Less,More,More,Less,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"The increase of human activities, especially in the water sources and water catchment areas; cutting down of trees (massive) and without re or afforestation; lacking of awareness and knowledge to water users",Decrease,Deteriorate,Yes,Proper management of water sources with the induction of knowledge and use of rules and regulations placed; increased need of planting of trees; banning water use (human activities) in water sources by at least 60 m away from the source,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
90,131,Orange,77,Tree plantations,Forest - Planted,Forest,Forest,Moderate,Because I work through it in my daily activities,Decreased,Deteriorated,Less,No change,No change,Less,Less,Less,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Deforestation; bush fire; population increased; overgrazing; low living standard of people; high exensive ofother source of energy like gas, electricity",Decrease,Deteriorate,Yes,Afforestation and reafforestation; land use planning; tree nursery; to have mdern dunmping site so as to reduce land degradation; education to community; introducing other sources of energy so as to reduce the community to harvest the trees for domestic purpose and commercial charcoal,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,2,0,0,0,4,0,0,0,1,0,0,0,1,0
